"id","naam","payloadLEO","jaar","massa"
"2075","Agnibaan","100","2022","0"
"2076","Alpha","1000","2021","54000"
"2077","Amur","10500","2026","360000"
"2078","Angara 1.2","3500","2021","171500"
"2079","Angara A5","24000","2014","171500"
"2080","Antares 230 / 230+","8200","2016","296000"
"2081","Ariane 5 ECA","21000","2002","777000"
"2082","Ariane 6 A62","10350","2022","860000"
"2083","Ariane 6 A64","21650","2023","860000"
"2084","Rocket 3.2","100","2020","0"
"2085","Atlas V 401","9050","2002","590000"
"2086","Atlas V 411","9050","2006","590000"
"2087","Atlas V 421","9050","2007","590000"
"2088","Atlas V 431","9050","2005","590000"
"2089","Atlas V 501","8250","2010","590000"
"2090","Atlas V 511","11000","2021","590000"
"2091","Atlas V 521","13300","2003","590000"
"2092","Atlas V 531","15300","2010","590000"
"2093","Atlas V 541","17100","2011","590000"
"2094","Atlas V 551","18500","2006","590000"
"2095","Atlas V N22[f]","13000","2019","590000"
"2096","Beta","8000","0","0"
"2097","Bloostar","140","0","0"
"2098","Blue Whale 1","63","2021","1790"
"2099","Ceres-1","350","2020","0"
"2100","Cyclone-4M","5000","2023","0"
"2101","Chetak","0","2023","0"
"2102","Delta IV Heavy","28790","2004","733000"
"2103","Electron","300","2017","0"
"2104","Epsilon","1500","2013","91000"
"2105","Eris","305","2022","0"
"2106","Falcon 9 Full Thrust  (partially reusable)","0","2015","549000"
"2107","Falcon 9 Full Thrust  (expended)","22800","2017","549000"
"2108","Falcon Heavy  (partially reusable)[42]","30000","2018","1420000"
"2109","Falcon Heavy  (expended)","63800","0","1420000"
"2110","GSLV Mk II","5000","2010","414750"
"2111","GSLV Mk III","10000","2017","640000"
"2112","H-IIA 202","8000","2001","445000"
"2113","H-IIA 204","0","2006","445000"
"2114","H3","4000","2022","574000"
"2115","Hyperbola-1","300","2019","0"
"2116","Hyperbola-2","2000","2021","0"
"2117","Jielong 1[63]","0","2019","23100"
"2118","Kaituozhe-2","800","2017","0"
"2119","Kuaizhou 1/1A","400","2013","0"
"2120","Kuaizhou 11","1500","2020","0"
"2121","Kuaizhou 21","20000","2025","0"
"2122","LauncherOne","500","2020","30000"
"2123","Long March 2C","3850","1982","233000"
"2124","Long March 2D","4000","1992","232250"
"2125","Long March 2F","8600","1999","464000"
"2126","Long March 3A","6000","1994","241000"
"2127","Long March 3B/E","11500","2007","425800"
"2128","Long March 3C","9100","2008","345000"
"2129","Long March 4B","4200","1999","249200"
"2130","Long March 4C","4200","2006","250000"
"2131","Long March 5","0","2016","854500"
"2132","Long March 5B","25000","2020","854500"
"2133","Long March 6","0","2015","103000"
"2134","Long March 7","13500","2016","597000"
