,index,planet_name,starname,number_stars,number_planets,spectral_type,star_temp,star_radius,star_mass,right_ascencion,declination,distance,alpha,delta,X,Y,Z
0,1,11 Com b,11 Com,2,1,G8 III,4742.0,19.0,2.7,185.1787793,17.7932516,93.1846,3.2319794036089204,0.3105508250557491,-88.36495785761475,-8.008843366098171,28.475644468901386
1,4,11 UMi b,11 UMi,1,1,K4 III,4340.0,24.08,1.8,229.2745954,71.8239428,125.321,4.0015965809078455,1.253564283624075,-25.50521160441589,-29.625963254448497,119.06779381201297
2,5,14 And b,14 And,1,1,K0 III,4813.0,11.0,2.2,352.82415,39.2358367,75.4392,6.1579430980503505,0.6847945351898267,57.97369156207768,-7.298956031050024,47.71634126965185
3,21,18 Del b,18 Del,2,1,G6 III,4979.0,8.5,2.3,314.6078375,10.8391378,76.222,5.490942616954286,0.1891786426873746,52.57196068038417,-53.296592146202606,14.333718980832383
4,22,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,K7 V,4060.0,1.35,0.85,242.3762343,-21.0831403,139.135,4.2302633171202135,-0.36797021489490506,-60.19337357234731,-115.02307500970464,-50.04995722567302
5,26,24 Boo b,24 Boo,1,1,G3 IV,4893.0,10.64,0.99,217.1555242,49.8446488,95.9863,3.7900788861842254,0.8699532360602406,-49.332600262608494,-37.38515974910796,73.36221213644909
6,40,30 Ari B b,30 Ari B,4,1,F6 V,6300.0,1.13,1.16,39.2412736,24.6480103,44.657,0.6848894269959283,0.4301889338004753,31.43508768863432,25.675561202339807,18.623868232802064
7,42,4 UMa b,4 UMa,1,1,K1 III,4415.0,18.11,1.23,130.0528099,64.3280504,73.4603,2.2698497342252772,1.1227362808688552,-20.47873759730914,24.359975555476705,66.20897653224323
8,43,42 Dra b,42 Dra,2,1,K1.5 III,4200.0,22.03,0.98,276.4975053,65.5633652,90.6545,4.825791841035472,1.1442965914274708,4.2437873556140255,-37.261667987985085,82.5336097470812
9,115,6 Lyn b,6 Lyn,1,1,K0 IV,4978.0,5.2,1.7,97.6960311,58.1611753,54.6599,1.7051174088257774,1.0151040058146006,-3.8614885815200095,28.57509300065586,46.435521252040004
