id,planet_name,starname,number_stars,number_planets,spectral_type,star_temp,star_radius,star_mass,right_ascencion,declination,distance,alpha,delta,X,Y,Z
0,11 Com b,11 Com,2,1,,,,2.6,185.1787793,17.7932516,93.1846,3.231979404,0.310550825,-88.36495786,-8.008843366,28.47564447
2,11 UMi b,11 UMi,1,1,,,,1.7,229.2745954,71.8239428,125.321,4.001596581,1.253564284,-25.5052116,-29.62596325,119.0677938
5,14 And b,14 And,1,1,K0 III,4813,11,2.2,352.82415,39.2358367,75.4392,6.157943098,0.684794535,57.97369156,-7.298956031,47.71634127
7,14 Her b,14 Her,1,2,,5314.94,1,0.97,242.6021014,43.8163621,17.9323,4.234205442,0.764739785,-5.954230684,-11.48790666,12.41541464
14,16 Cyg B b,16 Cyg B,3,1,G2.5 V,5760,,1,295.4656422,50.5168243,21.1397,5.156848283,0.881684912,5.779530078,-12.13575968,16.31585993
20,18 Del b,18 Del,2,1,,,,2.1,314.6078375,10.8391378,76.222,5.490942617,0.189178643,52.57196068,-53.29659215,14.33371898
22,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,K7 V,4060,1.35,0.85,242.3762343,-21.0831403,139.135,4.230263317,-0.367970215,-60.19337357,-115.023075,-50.04995723
26,24 Boo b,24 Boo,1,1,G3 IV,4893,10.64,0.99,217.1555242,49.8446488,95.9863,3.790078886,0.869953236,-49.33260026,-37.38515975,73.36221214
27,24 Sex b,24 Sex,1,2,,5098,4.9,1.54,155.8684866,-0.9023998,72.0691,2.720418291,-0.015749848,-65.76278455,29.46053375,-1.135030421
29,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,M5.5/M6,,,0.19,15.8992489,-55.2658291,,0.277494242,-0.964570682,,,
30,2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,,3309,0.37,0.35,20.7128012,-24.6646128,33.8281,0.361506578,-0.430478702,28.75483295,10.87288836,-14.11666499
32,2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,M6,3064,0.28,0.11,34.8427046,-39.4230767,,0.608119916,-0.68806249,,,
33,2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,M8.5,,,0.02,70.4371079,23.0308544,,1.229359448,0.401964239,,,
34,2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,,2825,0.22,0.19,181.8890906,-39.5484399,64.308,3.174563504,-0.69025049,-49.56008348,-1.634630486,-40.94685547
36,2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,1,,,,0.48,294.6359173,46.0664076,396.332,5.142366852,0.804010487,114.6275696,-249.9542285,285.4162893
37,2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,1,M8.5,2300,0.12,0.08,325.1218214,16.4213408,,5.674446254,0.286606465,,,
38,2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,K7 V,4045,,0.6,339.1025931,47.861683,69.5737,5.918456752,0.835343954,43.60808501,-16.65004701,51.59079945
39,30 Ari B b,30 Ari B,4,1,,,1.13,1.16,39.2412736,24.6480103,44.657,0.684889427,0.430188934,31.43508769,25.6755612,18.62386823
