,index,pl_name,hostname,sy_snum,sy_pnum,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim
0,0,11 Com b,11 Com,2,1,,,,,2.6,0.4,-0.3,0.0
1,2,11 UMi b,11 UMi,1,1,,,,,1.7,0.4,-0.3,0.0
2,5,14 And b,14 And,1,1,11.0,1.0,-1.0,0.0,2.2,0.1,-0.2,0.0
3,7,14 Her b,14 Her,1,2,1.0,0.02,-0.02,0.0,0.97,0.04,-0.04,0.0
4,14,16 Cyg B b,16 Cyg B,3,1,,,,,1.0,0.05,-0.05,0.0
5,20,18 Del b,18 Del,2,1,,,,,2.1,0.1,-0.1,0.0
6,22,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,1.35,,,0.0,0.85,0.2,-0.1,0.0
7,26,24 Boo b,24 Boo,1,1,10.64,0.84,-0.59,0.0,0.99,0.19,-0.13,0.0
8,27,24 Sex b,24 Sex,1,2,4.9,0.08,-0.08,0.0,1.54,0.08,-0.08,0.0
9,28,24 Sex c,24 Sex,1,2,4.9,0.08,-0.08,0.0,1.54,0.08,-0.08,0.0
10,29,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,,,,,0.19,0.02,-0.02,0.0
11,30,2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,0.37,0.01,-0.01,0.0,0.35,0.02,-0.02,0.0
12,32,2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,0.28,0.01,-0.01,0.0,0.11,0.01,-0.01,0.0
13,33,2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,,,,,0.02,,,0.0
14,34,2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,,,,,0.02,,,0.0
15,36,2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,1,,,,,0.48,0.03,-0.03,0.0
16,37,2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,1,0.12,0.05,-0.04,0.0,0.08,0.06,-0.06,0.0
17,38,2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,,,,,0.6,0.05,-0.05,0.0
18,39,30 Ari B b,30 Ari B,4,1,1.13,0.03,-0.03,0.0,1.16,0.04,-0.04,0.0
19,42,4 UMa b,4 UMa,1,1,18.11,1.47,-1.47,0.0,1.23,0.15,-0.15,0.0
20,43,42 Dra b,42 Dra,2,1,22.03,1.0,-1.0,0.0,0.98,0.05,-0.05,0.0
21,44,47 UMa b,47 UMa,1,3,,,,,,,,
22,49,47 UMa c,47 UMa,1,3,,,,,,,,
23,52,47 UMa d,47 UMa,1,3,1.21,0.04,-0.06,0.0,1.06,0.13,-0.14,0.0
24,54,51 Eri b,51 Eri,3,1,1.49,0.05,-0.06,0.0,1.65,0.36,-0.18,0.0
25,57,51 Peg b,51 Peg,1,1,1.19,0.03,-0.03,0.0,1.07,0.05,-0.05,0.0
26,62,55 Cnc b,55 Cnc,2,5,0.96,0.08,-0.05,0.0,0.9,0.14,-0.09,0.0
27,74,55 Cnc c,55 Cnc,2,5,,,,,0.95,,,0.0
28,82,55 Cnc d,55 Cnc,2,5,0.94,0.01,-0.01,0.0,0.91,0.01,-0.01,0.0
29,92,55 Cnc e,55 Cnc,2,5,0.96,0.08,-0.05,0.0,0.9,0.14,-0.09,0.0
30,106,55 Cnc f,55 Cnc,2,5,,,,,0.95,,,0.0
31,113,6 Lyn b,6 Lyn,1,1,5.2,,,0.0,1.44,,,0.0
32,116,61 Vir b,61 Vir,1,3,1.03,0.02,-0.02,0.0,0.91,0.04,-0.04,0.0
