# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Oct  6 00:07:21 2021
#
# User ID:         roan.gijsen
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
#
pl_name,hostname,sy_snum,sy_pnum,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim
11 Com b,11 Com,2,1,,,,,2.60,0.40,-0.30,0
11 Com b,11 Com,2,1,19.00,2.00,-2.00,0,2.70,0.30,-0.30,0
11 UMi b,11 UMi,1,1,,,,,1.70,0.40,-0.30,0
11 UMi b,11 UMi,1,1,29.79,2.84,-2.84,0,2.78,0.69,-0.69,0
11 UMi b,11 UMi,1,1,24.08,1.84,-1.84,0,1.80,0.25,-0.25,0
14 And b,14 And,1,1,11.00,1.00,-1.00,0,2.20,0.10,-0.20,0
14 And b,14 And,1,1,,,,,1.20,0.40,-0.30,0
14 Her b,14 Her,1,2,1.00,0.02,-0.02,0,0.97,0.04,-0.04,0
14 Her b,14 Her,1,2,,,,,1.00,,,0
14 Her b,14 Her,1,2,1.00,0.05,-0.08,0,0.91,0.14,-0.09,0
14 Her b,14 Her,1,2,,,,,0.90,,,0
14 Her b,14 Her,1,2,,,,,,,,
14 Her b,14 Her,1,2,0.93,0.01,-0.01,0,0.90,0.04,-0.04,0
14 Her b,14 Her,1,2,,,,,0.90,,,0
16 Cyg B b,16 Cyg B,3,1,,,,,1.00,0.05,-0.05,0
16 Cyg B b,16 Cyg B,3,1,1.13,0.01,-0.01,0,1.08,0.04,-0.04,0
16 Cyg B b,16 Cyg B,3,1,,,,,,,,
16 Cyg B b,16 Cyg B,3,1,,,,,0.99,,,0
16 Cyg B b,16 Cyg B,3,1,1.16,0.03,-0.03,0,0.98,0.04,-0.04,0
16 Cyg B b,16 Cyg B,3,1,1.13,0.08,-0.05,0,1.03,0.15,-0.12,0
18 Del b,18 Del,2,1,,,,,2.10,0.10,-0.10,0
18 Del b,18 Del,2,1,8.50,,,0,2.30,,,0
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,1.35,,,0,0.85,0.20,-0.10,0
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,,,,,0.85,0.20,-0.10,0
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,,,,,0.85,0.20,-0.10,0
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,1.31,0.18,-0.10,0,0.62,0.06,-0.11,0
24 Boo b,24 Boo,1,1,10.64,0.84,-0.59,0,0.99,0.19,-0.13,0
24 Sex b,24 Sex,1,2,4.90,0.08,-0.08,0,1.54,0.08,-0.08,0
24 Sex c,24 Sex,1,2,4.90,0.08,-0.08,0,1.54,0.08,-0.08,0
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,,,,,0.19,0.02,-0.02,0
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,0.37,0.01,-0.01,0,0.35,0.02,-0.02,0
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,,,,,0.40,0.05,-0.05,0
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,0.28,0.01,-0.01,0,0.11,0.01,-0.01,0
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,,,,,0.02,,,0
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,,,,,0.02,,,0
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,0.22,0.01,-0.01,0,0.19,0.02,-0.02,0
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,1,,,,,0.48,0.03,-0.03,0
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,1,0.12,0.05,-0.04,0,0.08,0.06,-0.06,0
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,,,,,0.60,0.05,-0.05,0
30 Ari B b,30 Ari B,4,1,1.13,0.03,-0.03,0,1.16,0.04,-0.04,0
30 Ari B b,30 Ari B,4,1,1.13,0.03,-0.03,0,1.16,0.04,-0.04,0
30 Ari B b,30 Ari B,4,1,1.41,0.05,-0.05,0,1.93,0.27,-0.27,0
4 UMa b,4 UMa,1,1,18.11,1.47,-1.47,0,1.23,0.15,-0.15,0
42 Dra b,42 Dra,2,1,22.03,1.00,-1.00,0,0.98,0.05,-0.05,0
47 UMa b,47 UMa,1,3,,,,,,,,
47 UMa b,47 UMa,1,3,,,,,,,,
47 UMa b,47 UMa,1,3,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0
47 UMa b,47 UMa,1,3,1.14,0.03,-0.03,0,1.01,0.05,-0.05,0
47 UMa b,47 UMa,1,3,,,,,1.06,0.03,-0.03,0
47 UMa c,47 UMa,1,3,,,,,,,,
47 UMa c,47 UMa,1,3,1.14,0.03,-0.03,0,1.01,0.05,-0.05,0
47 UMa c,47 UMa,1,3,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0
47 UMa d,47 UMa,1,3,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0
47 UMa d,47 UMa,1,3,1.14,0.03,-0.03,0,1.01,0.05,-0.05,0
51 Eri b,51 Eri,3,1,1.49,0.05,-0.06,0,1.65,0.36,-0.18,0
51 Eri b,51 Eri,3,1,,,,,1.75,0.05,-0.05,0
51 Eri b,51 Eri,3,1,1.49,0.05,-0.06,0,1.65,0.36,-0.18,0
51 Peg b,51 Peg,1,1,1.19,0.03,-0.03,0,1.07,0.05,-0.05,0
51 Peg b,51 Peg,1,1,1.18,0.07,-0.04,0,1.03,0.17,-0.09,0
51 Peg b,51 Peg,1,1,,,,,1.04,,,0
51 Peg b,51 Peg,1,1,1.29,,,0,,,,
51 Peg b,51 Peg,1,1,,,,,,,,
