# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Oct 25 00:15:47 2021
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name,hostname,default_flag,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,sy_dist,sy_disterr1,sy_disterr2
11 Com b,11 Com,1,4742.00,100.00,-100.00,0,19.00,2.00,-2.00,0,2.70,0.30,-0.30,0,93.1846000,1.9238000,-1.9238000
11 UMi b,11 UMi,1,4213.00,46.00,-46.00,0,29.79,2.84,-2.84,0,2.78,0.69,-0.69,0,125.3210000,1.9765000,-1.9765000
14 And b,14 And,1,4813.00,20.00,-20.00,0,11.00,1.00,-1.00,0,2.20,0.10,-0.20,0,75.4392000,0.7140000,-0.7140000
14 Her b,14 Her,1,5338.00,25.00,-25.00,0,0.93,0.01,-0.01,0,0.90,0.04,-0.04,0,17.9323000,0.0073000,-0.0073000
16 Cyg B b,16 Cyg B,1,5750.00,8.00,-8.00,0,1.13,0.01,-0.01,0,1.08,0.04,-0.04,0,21.1397000,0.0110000,-0.0111000
18 Del b,18 Del,1,4979.00,18.00,-18.00,0,8.50,,,0,2.30,,,0,76.2220000,0.6217000,-0.6217000
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,4060.00,300.00,-200.00,0,,,,,0.85,0.20,-0.10,0,139.1350000,1.3320000,-1.3070000
24 Boo b,24 Boo,1,4893.00,15.00,-15.00,0,10.64,0.84,-0.59,0,0.99,0.19,-0.13,0,95.9863000,0.6368500,-0.6368500
24 Sex b,24 Sex,1,5098.00,44.00,-44.00,0,4.90,0.08,-0.08,0,1.54,0.08,-0.08,0,72.0691000,0.6854000,-0.6728000
24 Sex c,24 Sex,1,5098.00,44.00,-44.00,0,4.90,0.08,-0.08,0,1.54,0.08,-0.08,0,72.0691000,0.6854000,-0.6728000
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,1,,,,,,,,,0.19,0.02,-0.02,0,,,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,3530.00,50.00,-50.00,0,,,,,0.40,0.05,-0.05,0,33.8281000,0.0864000,-0.0860000
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,3064.00,76.00,-76.00,0,0.28,0.01,-0.01,0,0.11,0.01,-0.01,0,,,
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,,,,,,,,,0.02,,,0,,,
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,,,,,,,,,0.02,,,0,64.3080000,0.6569000,-0.6440000
2MASS J19383260+4603591 b,2MASS J19383260+4603591,1,,,,,,,,,0.48,0.03,-0.03,0,396.3320000,6.3885000,-6.3885000
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,2300.00,80.00,-80.00,0,0.12,0.05,-0.04,0,0.08,0.06,-0.06,0,,,
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,4045.00,35.00,-35.00,0,,,,,0.60,0.05,-0.05,0,69.5737000,0.1592000,-0.1585000
30 Ari B b,30 Ari B,1,6331.00,61.00,-61.00,0,1.41,0.05,-0.05,0,1.93,0.27,-0.27,0,44.6570000,0.1039000,-0.1034000
4 UMa b,4 UMa,1,4415.00,70.00,-70.00,0,18.11,1.47,-1.47,0,1.23,0.15,-0.15,0,73.4603000,1.1860500,-1.1860500
42 Dra b,42 Dra,1,4200.00,70.00,-70.00,0,22.03,1.00,-1.00,0,0.98,0.05,-0.05,0,90.6545000,1.3227000,-1.3227000
47 UMa b,47 UMa,1,5872.00,92.94,-113.53,0,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0,13.7967000,0.0289000,-0.0289000
47 UMa c,47 UMa,1,5872.00,92.94,-113.53,0,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0,13.7967000,0.0289000,-0.0289000
47 UMa d,47 UMa,1,5872.00,92.94,-113.53,0,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0,13.7967000,0.0289000,-0.0289000
51 Eri b,51 Eri,1,,,,,,,,,1.75,0.05,-0.05,0,29.7575000,0.1213000,-0.1203000
51 Peg b,51 Peg,1,5758.00,101.62,-119.62,0,1.18,0.07,-0.04,0,1.03,0.17,-0.09,0,15.4614000,0.0297000,-0.0297000
