,pl_name,sy_snum,sy_pnum,st_mass
0,11 Com b,2,1,2.6
1,11 UMi b,1,1,1.7
2,14 And b,1,1,2.2
3,14 Her b,1,2,0.97
4,16 Cyg B b,3,1,1.0
5,18 Del b,2,1,2.1
6,1RXS J160929.1-210524 b,1,1,0.85
7,24 Boo b,1,1,0.99
8,24 Sex b,1,2,1.54
9,24 Sex c,1,2,1.54
10,2MASS J01033563-5515561 AB b,2,1,0.19
11,2MASS J01225093-2439505 b,1,1,0.35
12,2MASS J02192210-3925225 b,1,1,0.11
13,2MASS J04414489+2301513 b,1,1,0.02
14,2MASS J12073346-3932539 b,1,1,0.02
15,2MASS J19383260+4603591 b,2,1,0.48
16,2MASS J21402931+1625183 A b,1,1,0.08
17,2MASS J22362452+4751425 b,1,1,0.6
18,30 Ari B b,4,1,1.16
19,4 UMa b,1,1,1.23
20,42 Dra b,2,1,0.98
21,47 UMa b,1,3,
22,47 UMa c,1,3,
23,47 UMa d,1,3,1.06
24,51 Eri b,3,1,1.65
25,51 Peg b,1,1,1.07
26,55 Cnc b,2,5,0.9
27,55 Cnc c,2,5,0.95
28,55 Cnc d,2,5,0.91
29,55 Cnc e,2,5,0.9
30,55 Cnc f,2,5,0.95
31,6 Lyn b,1,1,1.44
32,61 Vir b,1,3,0.91
33,61 Vir c,1,3,0.94
34,61 Vir d,1,3,0.94
35,7 CMa b,1,2,
36,7 CMa c,1,2,1.34
37,70 Vir b,1,1,1.09
38,75 Cet b,2,1,2.49
39,8 UMi b,1,1,1.8
40,81 Cet b,1,1,1.6
41,91 Aqr b,3,1,1.4
42,AB Pic b,1,1,
43,AU Mic b,1,2,0.5
44,AU Mic c,1,2,0.5
45,BD+03 2562 b,1,1,1.14
46,BD+14 4559 b,1,1,0.86
47,BD+15 2375 b,1,1,1.08
48,BD+15 2940 b,1,1,1.1
49,BD+20 2457 b,1,2,2.8
50,BD+20 2457 c,1,2,2.8
51,BD+20 274 b,1,1,0.8
52,BD+20 594 b,1,1,0.96
53,BD+45 564 b,1,1,0.81
54,BD+48 738 b,1,1,0.74
55,BD+48 740 b,1,1,1.09
56,BD+49 828 b,1,1,1.52
57,BD+55 362 b,1,1,0.91
58,BD+63 1405 b,1,1,0.82
59,BD-00 4475 b,1,1,0.81
60,BD-06 1339 b,1,2,0.7
61,BD-06 1339 c,1,2,0.7
62,BD-08 2823 b,1,2,0.74
63,BD-08 2823 c,1,2,0.74
64,BD-10 3166 b,1,1,1.1
65,BD-11 4672 b,1,2,0.65
66,BD-11 4672 c,1,2,0.65
67,BD-13 2130 b,1,1,2.12
68,BD-17 63 b,1,1,0.74
69,CFBDSIR J145829+101343 b,1,1,0.02
70,CFHTWIR-Oph 98 b,1,1,0.01
71,CHXR 73 b,1,1,0.35
72,CI Tau b,1,1,0.9
73,COCONUTS-2 b,1,1,0.37
74,CT Cha b,1,1,
75,CoRoT-1 b,1,1,
76,CoRoT-10 b,1,1,0.89
77,CoRoT-11 b,1,1,1.26
78,CoRoT-12 b,1,1,1.0
79,CoRoT-13 b,1,1,1.09
80,CoRoT-14 b,1,1,1.12
81,CoRoT-16 b,1,1,1.1
82,CoRoT-17 b,1,1,1.04
83,CoRoT-18 b,1,1,0.95
84,CoRoT-19 b,1,1,1.21
85,CoRoT-2 b,2,1,0.97
86,CoRoT-20 b,1,2,1.14
87,CoRoT-20 c,1,2,1.14
88,CoRoT-21 b,1,1,1.29
89,CoRoT-22 b,1,1,1.1
90,CoRoT-23 b,1,1,1.14
91,CoRoT-24 b,1,2,0.91
92,CoRoT-24 c,1,2,0.91
93,CoRoT-25 b,1,1,1.09
94,CoRoT-26 b,1,1,1.09
95,CoRoT-27 b,1,1,1.05
96,CoRoT-28 b,1,1,1.01
97,CoRoT-29 b,1,1,0.97
98,CoRoT-3 b,1,1,1.37
99,CoRoT-30 b,1,1,0.98
100,CoRoT-31 b,1,1,1.25
101,CoRoT-4 b,1,1,1.19
102,CoRoT-5 b,1,1,1.0
103,CoRoT-6 b,1,1,1.05
104,CoRoT-7 b,1,2,0.9
105,CoRoT-7 c,1,2,0.9
106,CoRoT-8 b,1,1,0.88
107,CoRoT-9 b,2,1,0.99
108,CoRoTID 223977153 b,1,1,1.08
109,DE CVn b,2,1,0.51
110,DENIS-P J082303.1-491201 b,1,1,0.07
111,DH Tau b,1,1,0.33
112,DMPP-1 b,1,4,1.21
113,DMPP-1 c,1,4,1.21
114,DMPP-1 d,1,4,1.21
115,DMPP-1 e,1,4,1.21
116,DMPP-2 b,1,1,1.44
117,DMPP-3 A b,2,1,
118,DP Leo b,2,1,
119,DS Tuc A b,2,1,0.96
120,EPIC 201170410.02,1,1,0.29
121,EPIC 201238110 b,1,1,
122,EPIC 201497682 b,1,1,0.78
123,EPIC 201615463 c,1,2,1.07
124,EPIC 201754305 d,1,3,0.67
125,EPIC 201757695.02,1,1,0.73
126,EPIC 201833600 c,1,2,0.61
127,EPIC 201841433 b,1,1,
128,EPIC 205950854 c,1,2,
129,EPIC 206024342 b,1,1,0.93
130,EPIC 206032309 b,1,1,0.22
131,EPIC 206042996 b,1,1,
132,EPIC 206215704 b,1,1,
133,EPIC 206317286 b,1,1,0.71
134,EPIC 211822797 b,1,1,0.61
135,EPIC 211945201 b,1,1,
136,EPIC 212297394 b,1,2,0.83
137,EPIC 212297394 c,1,2,0.83
138,EPIC 212424622 b,1,1,1.11
139,EPIC 212499991 b,1,1,0.91
