,planet_name,starname,number_stars,number_planets,spectral_type,star_temp,star_radius,star_mass,right_ascencion,declination,distance,alpha,delta,X,Y,Z
0,11 Com b,11 Com,2,1,,,,2.6,185.1787793,17.7932516,93.1846,3.2319794036089204,0.3105508250557491,-88.36495785761475,-8.008843366098171,28.475644468901386
2,11 UMi b,11 UMi,1,1,,,,1.7,229.2745954,71.8239428,125.321,4.0015965809078455,1.253564283624075,-25.50521160441589,-29.625963254448497,119.06779381201297
5,14 And b,14 And,1,1,K0 III,4813.0,11.0,2.2,352.82415,39.2358367,75.4392,6.1579430980503505,0.6847945351898267,57.97369156207768,-7.298956031050024,47.71634126965185
7,14 Her b,14 Her,1,2,,5314.94,1.0,0.97,242.6021014,43.8163621,17.9323,4.234205441687145,0.7647397848910569,-5.954230683777855,-11.487906661216748,12.415414644607335
14,16 Cyg B b,16 Cyg B,3,1,G2.5 V,5760.0,,1.0,295.4656422,50.5168243,21.1397,5.156848282909502,0.8816849116864798,5.779530077610701,-12.135759682119696,16.31585992553967
20,18 Del b,18 Del,2,1,,,,2.1,314.6078375,10.8391378,76.222,5.490942616954286,0.1891786426873746,52.57196068038417,-53.296592146202606,14.333718980832383
22,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,K7 V,4060.0,1.35,0.85,242.3762343,-21.0831403,139.135,4.2302633171202135,-0.36797021489490506,-60.19337357234731,-115.02307500970464,-50.04995722567302
26,24 Boo b,24 Boo,1,1,G3 IV,4893.0,10.64,0.99,217.1555242,49.8446488,95.9863,3.7900788861842254,0.8699532360602406,-49.332600262608494,-37.38515974910796,73.36221213644909
27,24 Sex b,24 Sex,1,2,,5098.0,4.9,1.54,155.8684866,-0.9023998,72.0691,2.720418291270662,-0.015749847679338326,-65.76278455147587,29.460533749249297,-1.1350304205226514
29,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,M5.5/M6,,,0.19,15.8992489,-55.2658291,,0.27749424189908667,-0.9645706816394944,,,
30,2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,,3309.0,0.37,0.35,20.7128012,-24.6646128,33.8281,0.36150657825103255,-0.43047870208953765,28.754832947956864,10.87288836481269,-14.116664986866242
32,2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,M6,3064.0,0.28,0.11,34.8427046,-39.4230767,,0.6081199155697739,-0.6880624896812608,,,
33,2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,M8.5,,,0.02,70.4371079,23.0308544,,1.2293594484375088,0.4019642388274231,,,
34,2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,,2825.0,0.22,0.19,181.8890906,-39.5484399,64.308,3.1745635044282685,-0.690250490282097,-49.56008347843912,-1.6346304859121388,-40.946855468822925
36,2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,1,,,,0.48,294.6359173,46.0664076,396.332,5.142366851518721,0.804010487185739,114.62756956149553,-249.9542284868295,285.41628927231596
37,2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,1,M8.5,2300.0,0.12,0.08,325.1218214,16.4213408,,5.674446253510959,0.28660646455207966,,,
38,2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,K7 V,4045.0,,0.6,339.1025931,47.861683,69.5737,5.918456751645604,0.8353439538957972,43.608085014673456,-16.650047013057964,51.590799446276975
39,30 Ari B b,30 Ari B,4,1,,,1.13,1.16,39.2412736,24.6480103,44.657,0.6848894269959283,0.4301889338004753,31.43508768863432,25.675561202339807,18.623868232802064
42,4 UMa b,4 UMa,1,1,K1 III,4415.0,18.11,1.23,130.0528099,64.3280504,73.4603,2.2698497342252772,1.1227362808688552,-20.47873759730914,24.359975555476705,66.20897653224323
43,42 Dra b,42 Dra,2,1,K1.5 III,4200.0,22.03,0.98,276.4975053,65.5633652,90.6545,4.825791841035472,1.1442965914274708,4.2437873556140255,-37.261667987985085,82.5336097470812
44,47 UMa b,47 UMa,1,3,G1 V,,,,164.8647611,40.4304931,13.7967,2.8774329017088687,0.705645222799849,-10.137665731731706,2.742042201244645,8.94750629886708
54,51 Eri b,51 Eri,3,1,,7295.0,1.49,1.65,69.4007424,-2.4738245,29.7575,1.2112714582084314,-0.04317638264150246,10.45980976044312,27.828967749874597,-1.2844220497090255
57,51 Peg b,51 Peg,1,1,,5760.76,1.19,1.07,344.3675399,20.7690958,15.4614,6.010347408247944,0.36248910437212567,13.921921575144372,-3.8955738125097232,5.482653945564871
62,55 Cnc b,55 Cnc,2,5,,,,,133.1468373,28.3298154,12.5855,2.323850699502197,0.4944485552121944,-7.576013248701932,8.082650470765472,5.972402772161929
113,6 Lyn b,6 Lyn,1,1,,4938.0,5.2,1.44,97.6960311,58.1611753,54.6599,1.7051174088257774,1.0151040058146006,-3.8614885815200095,28.57509300065586,46.435521252040004
116,61 Vir b,61 Vir,1,3,,5585.57,1.03,0.91,199.596455,-18.3157745,8.50332,3.4836153150586986,-0.31967057007781813,-7.60495764806607,-2.7074734245070933,-2.6722009372629936
121,7 CMa b,7 CMa,1,2,,4794.52,4.91,,99.171276,-19.2561808,19.8101,1.7308652896040322,-0.3360837563193157,-2.980809406980462,18.462715011846296,-6.533222151481009
125,70 Vir b,70 Vir,1,1,,5495.0,1.89,1.09,202.1064898,13.7763085,17.9011,3.5274236866583357,0.24044194209548125,-16.108011781575826,-6.542910775326758,4.26282256735223
131,75 Cet b,75 Cet,2,1,G3 III,4846.0,10.5,2.49,38.0391598,-1.0350269,82.9613,0.6639085832022678,-0.0180646272517101,65.32881158158216,51.112404782648625,-1.4985834520685377
132,8 UMi b,8 UMi,1,1,K0,4847.4,9.9,1.8,224.201685,74.9009379,162.552,3.9130575917691828,1.3072679791868074,-30.355248928914033,-29.52092669769689,156.94020024637686
134,81 Cet b,81 Cet,1,1,,,,1.6,39.4243555,-3.3963607,101.26,0.6880848089517353,-0.05927767680033937,78.08228767322355,64.19311984894246,-5.998942888148896
136,91 Aqr b,91 Aqr,3,1,K0 III,4665.0,11.0,1.4,348.9745031,-9.0878076,44.0304,6.090754084606158,-0.15861216440776382,42.67520189368185,-8.314928852751402,-6.954511173847864
