,xsectmin,satno,diameter,mass,span,cosparId,xsectavg,name,vimpelId,objectClass,depth,height,shape,xsectmax,width
0, None, 49260, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
1, None, 49259, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
2, None, 49258, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
3, None, 49257, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
4, None, 49256, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
5, None, 49223, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
6, None, 49222, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
7, None, 49248, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
8, None, 49220, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
9, None, 49209, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
10, None, 49208, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
11, None, 49207, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
12, None, 49206, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
13, None, 49205, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
14, None, 49204, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
15, None, 49203, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
16, None, 49202, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
17, None, 49201, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
18, None, 49200, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
19, None, 49199, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
20, None, 49198, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
21, None, 49197, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
22, None, 49196, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
23, None, 49195, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
24, None, 49194, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
25, None, 49193, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
26, None, 49192, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
27, None, 49191, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
28, None, 49190, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
29, None, 49189, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
30, None, 49188, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
31, None, 49187, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
32, None, 49219, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
33, None, 49218, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
34, None, 49217, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
35, None, 49216, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
36, None, 49215, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
37, None, 49214, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
38, None, 49213, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
39, None, 49212, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
40, None, 49211, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
41, None, 49210, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
42, None, 49186, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
43, None, 49153, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
44, None, 49152, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
45, None, 49151, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
46, None, 49150, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
47, None, 49149, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
48, None, 49148, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
49, None, 49147, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
50, None, 49146, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
51, None, 49145, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
52, None, 49144, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
53, None, 49143, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
54, None, 49142, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
55, None, 49141, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
56, None, 49140, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
57, None, 49139, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
58, None, 49138, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
59, None, 49137, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
60, None, 49136, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
61, None, 49135, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
62, None, 49134, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
63, None, 49133, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
64, None, 49132, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
65, None, 49185, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
66, None, 49184, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
67, None, 49183, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
68, None, 49182, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
69, None, 49181, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
70, None, 49180, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
71, None, 49179, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
72, None, 49178, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
73, None, 49128, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
74, None, 49177, None, None, None,2021, None, None, None, Unknown, None, None, None, None, None
